Player~Pos~Age~Tm~G~GS~MP~FG~FGA~FG%~3P~3PA~3P%~FT~FTA~FT%~ORB~DRB~TRB~AST~STL~BLK~TOV~PF~PTS
Ryan Rollins~PG~23.0~MIL~74.0~67.0~32.1~6.6~13.9~0.472~2.5~6.1~0.406~1.7~2.1~0.796~0.7~3.8~4.6~5.6~1.5~0.4~2.7~2.6~17.3
Miles Bridges~PF~27.0~CHO~76.0~76.0~31.1~6.3~13.6~0.46~1.9~5.8~0.334~2.7~3.3~0.825~1.0~4.9~5.9~3.2~0.6~0.4~1.4~1.7~17.2
Chet Holmgren~PF~23.0~OKC~69.0~69.0~28.9~6.3~11.3~0.557~1.3~3.5~0.362~3.3~4.1~0.792~1.9~7.0~8.9~1.7~0.6~1.9~1.6~2.3~17.1
Jalen Williams~SG~24.0~OKC~33.0~33.0~28.4~6.5~13.5~0.484~0.7~2.3~0.299~3.3~3.9~0.837~0.8~3.8~4.6~5.5~1.2~0.3~1.9~2.0~17.1
Josh Giddey~PG~23.0~CHI~54.0~51.0~32.1~5.9~13.3~0.448~1.9~5.2~0.364~3.2~4.2~0.763~1.2~7.1~8.3~9.1~1.0~0.5~3.6~1.7~17.0
Payton Pritchard~PG~28.0~BOS~79.0~50.0~32.4~6.4~13.8~0.464~2.7~7.1~0.377~1.5~1.7~0.89~0.9~3.1~3.9~5.2~0.7~0.1~1.4~1.5~17.0
Andrew Nembhard~PG~26.0~IND~57.0~57.0~31.3~5.8~13.2~0.442~1.9~5.2~0.361~3.4~4.1~0.825~0.4~2.4~2.8~7.7~0.9~0.1~2.4~2.2~16.9
Kristaps Porzi??is~C~30.0~2TM~31.0~22.0~24.0~5.5~12.3~0.447~1.7~5.0~0.346~4.1~4.9~0.836~1.2~3.9~5.1~2.6~0.6~1.2~1.3~2.8~16.8
Kristaps Porzi??is~C~30.0~ATL~17.0~12.0~24.3~5.6~12.4~0.457~1.8~5.1~0.36~4.0~4.8~0.84~1.2~3.9~5.1~2.7~0.5~1.3~0.9~3.2~17.1
Kristaps Porzi??is~C~30.0~GSW~14.0~10.0~23.7~5.3~12.1~0.435~1.6~5.0~0.329~4.2~5.1~0.831~1.2~3.9~5.1~2.4~0.6~1.1~1.8~2.4~16.4
Stephon Castle~PG~21.0~SAS~67.0~66.0~30.0~5.7~12.0~0.473~1.2~3.6~0.328~4.2~5.7~0.737~1.4~3.8~5.2~7.4~1.1~0.3~3.2~3.3~16.8
OG Anunoby~PF~28.0~NYK~67.0~67.0~33.2~5.8~12.0~0.484~2.3~6.1~0.386~2.7~3.3~0.828~1.3~4.0~5.2~2.2~1.6~0.7~1.8~2.4~16.7
Dejounte Murray~PG~29.0~NOP~14.0~14.0~27.8~6.3~13.0~0.484~1.4~4.4~0.306~2.8~3.2~0.867~0.3~5.1~5.4~6.4~1.6~0.2~3.4~2.4~16.7
Immanuel Quickley~PG~26.0~TOR~69.0~69.0~32.1~5.8~13.0~0.444~2.6~6.9~0.376~2.5~3.0~0.821~0.6~3.5~4.1~5.9~1.3~0.1~1.5~2.0~16.6
Grayson Allen~SG~30.0~PHO~51.0~27.0~28.8~5.3~13.1~0.403~3.1~8.9~0.349~2.8~3.3~0.857~0.7~2.3~3.0~3.8~1.4~0.3~1.6~2.3~16.5
Derrick White~SG~31.0~BOS~77.0~77.0~34.1~5.7~14.4~0.394~2.7~8.3~0.327~2.4~2.6~0.902~1.1~3.3~4.4~5.4~1.1~1.3~1.7~1.5~16.5
Matas Buzelis~PF~21.0~CHI~77.0~77.0~29.2~5.8~12.5~0.463~2.2~6.4~0.349~2.4~3.1~0.786~1.0~4.8~5.8~2.1~0.7~1.5~2.1~2.3~16.3
Alex Sarr~C~20.0~WAS~48.0~48.0~27.2~6.6~13.7~0.482~1.0~3.1~0.333~2.1~3.0~0.692~2.2~5.2~7.4~2.7~0.8~2.0~1.7~2.2~16.3
Aaron Gordon~PF~30.0~DEN~36.0~33.0~27.9~5.5~11.1~0.497~1.7~4.4~0.389~3.5~4.5~0.767~1.4~4.4~5.8~2.7~0.6~0.3~1.1~1.7~16.2
Jrue Holiday~PG~35.0~POR~52.0~50.0~29.4~6.0~13.3~0.452~2.6~6.8~0.381~1.6~1.9~0.838~1.3~3.3~4.6~6.1~1.0~0.1~2.7~1.5~16.2
VJ Edgecombe~SG~20.0~PHI~74.0~74.0~35.0~6.0~13.8~0.439~2.0~5.6~0.356~2.0~2.4~0.818~1.6~4.0~5.6~4.1~1.4~0.5~1.8~2.9~16.1
Domantas Sabonis~C~29.0~SAC~19.0~15.0~29.7~6.3~11.6~0.543~0.3~1.4~0.185~2.9~4.1~0.727~3.4~8.0~11.4~4.1~0.9~0.2~2.7~3.5~15.8
Jabari Smith Jr.~PF~22.0~HOU~77.0~77.0~35.1~5.7~12.6~0.45~2.3~6.3~0.363~2.1~2.7~0.775~1.4~5.5~6.9~1.9~0.7~0.9~1.4~2.5~15.8
Andrew Wiggins~SF~30.0~MIA~67.0~67.0~30.4~5.8~12.1~0.479~2.1~4.9~0.419~1.9~2.4~0.781~1.7~3.2~4.9~2.7~1.1~1.0~1.5~2.3~15.5
Collin Sexton~SG~27.0~2TM~67.0~21.0~23.7~5.3~10.8~0.485~1.7~4.1~0.399~3.2~3.8~0.854~0.6~1.7~2.3~3.3~1.1~0.1~2.1~2.1~15.4
Collin Sexton~SG~27.0~CHO~42.0~12.0~22.3~4.8~9.9~0.488~1.4~3.5~0.393~3.2~3.7~0.877~0.4~1.5~1.9~3.7~0.9~0.2~2.1~1.8~14.2
Collin Sexton~SG~27.0~CHI~25.0~9.0~25.9~6.0~12.5~0.481~2.2~5.3~0.406~3.2~4.0~0.818~0.9~2.0~2.9~2.6~1.6~0.1~2.1~2.6~17.4
Jarrett Allen~C~27.0~CLE~56.0~56.0~27.1~6.0~9.4~0.638~0.0~0.2~0.1~3.3~4.7~0.709~2.6~5.9~8.5~1.8~1.0~0.8~1.3~1.7~15.4
Jaime Jaquez Jr.~SF~24.0~MIA~74.0~1.0~28.3~6.1~12.1~0.503~0.8~2.4~0.317~2.2~2.9~0.771~1.3~3.8~5.1~4.7~0.7~0.3~2.1~1.9~15.2
Naji Marshall~SF~28.0~DAL~74.0~47.0~29.5~5.7~11.1~0.51~0.8~2.9~0.291~3.1~4.1~0.76~0.9~3.8~4.7~3.3~1.1~0.1~1.6~1.9~15.2
Onyeka Okongwu~C~25.0~ATL~74.0~63.0~31.0~5.6~11.6~0.48~1.9~5.2~0.376~2.1~2.7~0.757~1.9~5.7~7.6~3.1~1.1~1.1~1.7~3.3~15.2
Russell Westbrook~SF~37.0~SAC~64.0~58.0~29.0~5.6~13.1~0.427~2.0~5.9~0.338~2.0~2.9~0.694~1.3~4.2~5.4~6.7~1.3~0.2~3.3~2.3~15.2
Nikola Vu?evi?~C~35.0~2TM~64.0~49.0~28.4~6.2~12.5~0.493~1.6~4.2~0.369~1.2~1.5~0.828~2.0~6.4~8.4~3.3~0.6~0.6~1.3~2.0~15.1
Nikola Vu?evi?~C~35.0~CHI~48.0~48.0~30.8~6.9~13.8~0.505~1.7~4.5~0.376~1.3~1.5~0.838~2.1~6.9~9.0~3.8~0.7~0.6~1.4~2.0~16.9
Nikola Vu?evi?~C~35.0~BOS~16.0~1.0~21.1~3.8~8.7~0.439~1.1~3.3~0.34~0.9~1.2~0.789~1.6~5.1~6.6~2.0~0.4~0.6~1.0~1.9~9.7
Anthony Black~PG~22.0~ORL~63.0~40.0~30.0~5.4~12.1~0.446~1.6~4.7~0.334~2.7~3.6~0.732~0.7~3.1~3.8~3.7~1.4~0.7~2.1~2.6~15.0
Kennedy Chandler~PG~23.0~UTA~11.0~2.0~32.3~5.5~12.5~0.445~1.4~3.5~0.395~2.5~3.9~0.651~0.5~2.8~3.4~6.7~1.0~0.2~2.1~2.1~15.0
Brice Sensabaugh~SF~22.0~UTA~74.0~22.0~23.6~5.3~11.4~0.46~2.1~5.9~0.366~2.2~2.6~0.831~0.8~2.3~3.1~1.9~0.7~0.2~1.6~1.9~14.9
Ayo Dosunmu~SG~26.0~2TM~69.0~19.0~27.3~5.6~10.8~0.517~1.8~4.1~0.439~1.8~2.1~0.876~0.7~2.8~3.4~3.6~0.8~0.3~1.4~1.9~14.8
Ayo Dosunmu~SG~26.0~CHI~45.0~10.0~26.4~5.6~10.8~0.514~1.9~4.3~0.451~2.0~2.3~0.857~0.7~2.3~3.0~3.6~0.8~0.3~1.4~1.7~15.0
Ayo Dosunmu~SG~26.0~MIN~24.0~9.0~28.9~5.7~10.9~0.521~1.5~3.6~0.414~1.5~1.7~0.925~0.6~3.6~4.2~3.5~1.0~0.3~1.5~2.2~14.4
Kyshawn George~SF~22.0~WAS~48.0~48.0~29.0~5.3~12.0~0.438~2.1~5.4~0.381~2.2~2.7~0.802~0.9~4.2~5.1~4.5~1.0~0.9~2.6~3.5~14.8
Jaden McDaniels~PF~25.0~MIN~73.0~73.0~31.7~5.7~11.1~0.515~1.4~3.4~0.412~2.0~2.4~0.835~1.0~3.2~4.2~2.7~1.1~1.0~1.8~3.3~14.8
