Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
51,Zach LaVine,30,SAC,SG,39,37,31.4,6.7,14,0.479,2.5,6.5,0.39,4.2,7.5,0.556,0.569,3.2,3.6,0.88,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,19.2,,lavinza01
52,Scottie Barnes,24,TOR,PF,56,56,34.3,7.5,14.9,0.499,0.9,3,0.293,6.6,12,0.551,0.529,3.3,4.1,0.824,2.1,6.2,8.3,5.6,1.3,1.6,2.7,2.8,19.1,AS,barnesc01
53,De'Aaron Fox,28,SAS,PG,48,48,31.8,7.1,14.8,0.48,1.9,5.6,0.347,5.2,9.2,0.56,0.545,3,3.8,0.789,0.5,3.3,3.9,6.3,1.3,0.3,2.4,2.2,19.1,AS,foxde01
54,CJ McCollum,34,2TM,PG,55,39,30,6.8,15.1,0.451,2.6,6.8,0.382,4.2,8.3,0.508,0.537,2.4,3.1,0.781,0.7,2.7,3.4,3.5,0.8,0.4,1.7,1.9,18.6,,mccolcj01
54,CJ McCollum,34,WAS,SG,35,35,30.9,6.9,15.1,0.454,2.7,7,0.393,4.1,8.1,0.505,0.544,2.3,2.9,0.804,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,18.8,,mccolcj01
54,CJ McCollum,34,ATL,PG,20,4,28.4,6.8,15.1,0.447,2.3,6.4,0.359,4.5,8.7,0.511,0.523,2.5,3.4,0.746,0.9,2.3,3.2,3.4,0.9,0.6,1.9,1.5,18.3,,mccolcj01
55,DeMar DeRozan,36,SAC,PF,59,59,32.1,6.5,13.3,0.492,0.7,2.1,0.333,5.8,11.2,0.522,0.519,4.9,5.6,0.867,0.5,2.6,3.1,3.8,1.2,0.3,1.1,2,18.6,,derozde01
56,Jerami Grant,31,POR,PF,43,24,29.2,5.7,13,0.441,2.3,6,0.377,3.5,7,0.495,0.528,4.9,5.9,0.827,0.9,2.6,3.5,2.3,0.7,0.7,2.1,2.5,18.6,,grantje01
57,Bennedict Mathurin,23,2TM,SF,33,24,31.6,5.7,13.2,0.432,1.9,5.3,0.358,3.8,7.8,0.483,0.505,5.1,5.8,0.88,0.9,4.6,5.5,2.5,0.8,0.2,2.2,2.8,18.4,,mathube01
57,Bennedict Mathurin,23,IND,SF,28,24,31.8,5.5,12.8,0.433,2.1,5.6,0.372,3.5,7.2,0.48,0.514,4.6,5.2,0.884,0.8,4.6,5.4,2.3,0.6,0.1,2.3,2.7,17.8,,mathube01
57,Bennedict Mathurin,23,LAC,SF,5,0,30.4,6.6,15.4,0.429,1,4,0.25,5.6,11.4,0.491,0.461,7.8,9,0.867,1.6,4.6,6.2,3.6,1.8,0.2,1.8,3.4,22,,mathube01
58,Coby White,25,2TM,SG,30,26,28.6,5.9,13.4,0.438,2.5,7.1,0.349,3.4,6.3,0.537,0.53,4.1,5.1,0.805,0.3,3.4,3.7,4.7,0.7,0.1,3,2.4,18.3,,whiteco01
58,Coby White,25,CHI,SG,29,26,29.1,5.9,13.6,0.438,2.5,7.2,0.346,3.4,6.4,0.541,0.529,4.3,5.3,0.805,0.2,3.5,3.7,4.7,0.7,0.1,3,2.4,18.6,,whiteco01
58,Coby White,25,CHO,SG,1,0,16,4,9,0.444,2,4,0.5,2,5,0.4,0.556,0,0,,1,2,3,4,1,0,2,1,10,,whiteco01
59,Bam Adebayo,28,MIA,C,51,51,31.2,6.5,14.6,0.446,1.6,4.8,0.333,4.9,9.8,0.501,0.501,3.7,4.7,0.776,2,7.7,9.8,2.9,1,0.7,1.8,1.6,18.3,,adebaba01
60,Kevin Porter Jr.,25,MIL,PG,31,29,33.6,6.5,13.8,0.467,1.4,4.2,0.331,5.1,9.6,0.527,0.518,3.9,4.5,0.87,0.9,4.2,5.1,7.6,2.2,0.5,3,2.1,18.2,,porteke02
61,RJ Barrett,25,TOR,SF,34,34,29.4,6.5,13.7,0.473,1.7,5,0.347,4.8,8.7,0.545,0.536,3.4,4.8,0.706,0.9,4.5,5.4,3.6,0.9,0.3,1.7,2.5,18.1,,barrerj01
62,Miles Bridges,27,CHO,PF,54,54,32,6.5,14.4,0.45,2.1,6.5,0.332,4.3,7.9,0.545,0.524,3,3.6,0.845,1,5.1,6.1,3.4,0.5,0.5,1.5,1.8,18.1,,bridgmi02
63,Jalen Duren,22,DET,C,46,46,27.7,7.1,11.2,0.634,0,0,,7.1,11.2,0.634,0.634,3.9,5.3,0.733,3.8,6.7,10.5,1.7,0.9,0.7,1.9,2.8,18,AS,durenja01
64,Darius Garland,26,CLE,PG,26,26,30.5,6.5,14.5,0.451,2.3,6.3,0.36,4.3,8.2,0.521,0.529,2.6,3,0.861,0.5,2,2.4,6.9,0.8,0.1,2.8,1.8,18,,garlada01
65,Josh Giddey,23,CHI,PG,38,35,31.2,6.1,13.5,0.453,1.7,4.6,0.364,4.4,8.9,0.5,0.516,3.9,5.1,0.762,1.2,6.9,8.1,8.4,1,0.3,3.6,1.6,17.8,,giddejo01
66,Aaron Gordon,30,DEN,PF,23,20,27.9,6,11.9,0.509,1.8,4.6,0.4,4.2,7.3,0.577,0.586,3.7,4.7,0.789,1.3,4.9,6.2,2.5,0.7,0.2,1,1.7,17.7,,gordoaa01
67,Evan Mobley,24,CLE,PF,45,43,32.7,6.8,13.2,0.514,1.1,3.6,0.305,5.7,9.6,0.594,0.556,2.8,4.4,0.635,2.2,6.3,8.6,3.9,0.9,1.8,2,2.5,17.5,,mobleev01
68,Jalen Williams,24,OKC,SG,26,26,29,6.7,14,0.479,0.8,2.5,0.313,6,11.6,0.515,0.507,3.3,3.9,0.833,0.7,4,4.7,5.4,1.3,0.3,1.9,2.1,17.5,,willija06
69,Andrew Nembhard,26,IND,PG,46,46,31.7,6.1,13.7,0.441,2,5.3,0.366,4.1,8.4,0.49,0.513,3.3,4,0.821,0.4,2.4,2.8,7.4,0.9,0.2,2.5,2.2,17.4,,nembhan01
70,Payton Pritchard,28,BOS,PG,56,48,32.8,6.5,14.1,0.464,2.6,7.3,0.364,3.9,6.8,0.571,0.558,1.7,2,0.866,0.9,3.3,4.2,5.4,0.8,0.1,1.3,1.4,17.4,,pritcpa01
71,Amen Thompson,23,HOU,PG,55,55,37.2,6.7,13.2,0.509,0.3,1.7,0.194,6.4,11.5,0.555,0.521,3.7,4.7,0.783,2.9,4.7,7.6,5.3,1.5,0.6,2.6,2.2,17.4,,thompam01
72,Grayson Allen,30,PHO,SG,37,26,30.2,5.6,13.6,0.41,3.3,9.2,0.359,2.3,4.5,0.515,0.531,2.7,3.2,0.856,0.7,2.4,3.1,3.9,1.4,0.3,1.7,2.2,17.2,,allengr01
73,Chet Holmgren,23,OKC,PF,52,52,29.2,6.3,11.5,0.552,1.2,3.5,0.352,5.1,8,0.64,0.606,3.3,4.2,0.789,1.9,6.9,8.8,1.7,0.5,1.9,1.6,2.3,17.2,AS,holmgch01
74,Immanuel Quickley,26,TOR,PG,55,55,32.4,6,13.4,0.448,2.7,7.1,0.379,3.3,6.3,0.524,0.548,2.5,3.1,0.807,0.6,3.7,4.3,6,1.2,0.1,1.6,2.1,17.2,,quickim01
75,Ryan Rollins,23,MIL,PG,54,49,32.2,6.6,14.1,0.467,2.5,5.9,0.42,4.1,8.2,0.501,0.555,1.6,2.1,0.766,0.8,3.8,4.6,5.4,1.5,0.4,2.5,2.7,17.2,,rolliry01
76,Alex Sarr,20,WAS,C,41,41,28.2,7,14,0.496,1,2.9,0.336,6,11.1,0.537,0.53,2.3,3.3,0.691,2.3,5.4,7.8,2.8,0.8,2,1.7,2.1,17.2,,sarral01
77,Derrick White,31,BOS,SG,55,55,34.4,6,15.3,0.39,2.8,8.7,0.322,3.1,6.5,0.482,0.483,2.3,2.6,0.89,1.1,3.4,4.5,5.7,1.2,1.5,1.8,1.5,17.1,,whitede01
78,Kristaps Porziņģis,30,2TM,C,18,12,23.9,5.6,12.2,0.461,1.8,5.1,0.363,3.8,7.1,0.531,0.537,3.8,4.5,0.84,1.2,3.7,4.9,2.6,0.5,1.3,1,3,16.8,,porzikr01
78,Kristaps Porziņģis,30,ATL,C,17,12,24.3,5.6,12.4,0.457,1.8,5.1,0.36,3.8,7.3,0.524,0.531,4,4.8,0.84,1.2,3.9,5.1,2.7,0.5,1.3,0.9,3.2,17.1,,porzikr01
78,Kristaps Porziņģis,30,GSW,C,1,0,17,5,9,0.556,2,5,0.4,3,4,0.75,0.667,0,0,,0,1,1,1,0,1,2,0,12,,porzikr01
79,Saddiq Bey,26,NOP,SF,52,44,30.5,5.7,12.8,0.448,1.9,5.5,0.348,3.8,7.3,0.524,0.523,3.4,3.9,0.854,1.6,4.2,5.8,2.4,0.9,0.1,0.8,1.2,16.8,,beysa01
80,Stephon Castle,21,SAS,PG,47,46,29.9,5.7,12.2,0.471,1,3.5,0.295,4.7,8.7,0.543,0.514,4.1,5.7,0.72,1.2,3.8,5,6.9,1.3,0.4,3.4,3.3,16.6,,castlst01
81,Nikola Vučević,35,2TM,C,54,48,30.1,6.7,13.3,0.502,1.6,4.4,0.374,5.1,9,0.564,0.563,1.2,1.5,0.817,2.1,6.7,8.8,3.5,0.7,0.7,1.4,2,16.2,,vucevni01
81,Nikola Vučević,35,CHI,C,48,48,30.8,6.9,13.8,0.505,1.7,4.5,0.376,5.2,9.2,0.568,0.567,1.3,1.5,0.838,2.1,6.9,9,3.8,0.7,0.6,1.4,2,16.9,,vucevni01
81,Nikola Vučević,35,BOS,C,6,0,24.3,4.7,9.8,0.475,1,2.8,0.353,3.7,7,0.524,0.525,0.8,1.3,0.625,2.3,5.3,7.7,1.5,0.8,0.8,1.5,1.8,11.2,,vucevni01
82,Andrew Wiggins,30,MIA,SF,53,53,31.1,6.1,12.9,0.475,2.1,5,0.41,4.1,7.8,0.517,0.555,1.8,2.4,0.77,1.8,3.4,5.1,2.8,1.2,1,1.6,2.2,16.1,,wiggian01
83,OG Anunoby,28,NYK,PF,45,45,33.2,5.7,12.2,0.467,2,5.7,0.349,3.7,6.5,0.57,0.548,2.7,3.4,0.795,1.4,3.9,5.3,2.3,1.7,0.8,2,2.5,16,,anunoog01
84,Paul George,35,PHI,PF,27,27,30.5,5.6,13.1,0.424,2.4,6.4,0.382,3.1,6.7,0.464,0.517,2.4,2.8,0.855,0.5,4.6,5.1,3.7,1.5,0.5,1.6,2.2,16,,georgpa01
85,Onyeka Okongwu,25,ATL,C,54,43,31.6,5.9,12.3,0.482,2,5.4,0.381,3.9,7,0.56,0.565,2.1,2.7,0.774,1.9,5.9,7.8,3.2,1.1,1,1.9,3.4,16,,okongon01
86,Cam Thomas,24,2TM,SG,30,8,23.4,5.3,12.7,0.416,1.5,4.7,0.317,3.8,8,0.475,0.475,3.7,4.3,0.846,0.4,1.6,1.9,2.8,0.1,0.1,1.9,1.2,15.8,,thomaca02
86,Cam Thomas,24,BRK,SG,24,8,24.3,5.1,12.8,0.399,1.6,4.9,0.325,3.5,8,0.445,0.461,3.8,4.5,0.843,0.4,1.4,1.8,3.1,0.2,0.1,2,1.3,15.6,,thomaca02
86,Cam Thomas,24,MIL,SG,6,0,20,6,12.3,0.486,1.2,4.2,0.28,4.8,8.2,0.592,0.534,3.2,3.7,0.864,0.3,2.2,2.5,1.5,0,0,1.5,0.7,16.3,,thomaca02
