Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
196,Maxime Raynaud,22,SAC,C,51,33,23.9,4.3,7.8,0.55,0.2,0.8,0.256,4.1,7,0.586,0.564,1.3,1.7,0.767,1.9,5.1,7,1.1,0.5,0.5,1,2.4,10.1,,raynama01
197,Ausar Thompson,23,DET,SF,52,51,25.8,4.2,8.3,0.508,0.1,0.4,0.286,4.1,7.8,0.52,0.515,1.6,2.8,0.586,2.2,3.7,5.9,2.8,1.9,0.8,1.5,2.8,10.1,,thompau01
198,GG Jackson II,21,MEM,PF,36,10,19.3,3.7,7.5,0.496,1.1,3.2,0.339,2.6,4.3,0.613,0.569,1.5,2.1,0.697,0.6,3.3,3.8,1.3,0.7,0.7,1.1,1.5,10,,jacksgg01
199,Royce O'Neale,32,PHO,SF,59,54,29.4,3.5,8.4,0.415,2.7,6.8,0.4,0.8,1.6,0.479,0.578,0.3,0.5,0.679,0.8,4.1,4.9,2.8,1.2,0.3,1.5,2.3,10,,onealro01
200,Isaiah Stewart,24,DET,C,48,13,23.3,3.8,7.1,0.54,0.7,2.2,0.321,3.1,4.9,0.639,0.59,1.6,2.2,0.76,1.6,3.5,5.1,1.1,0.3,1.7,1.2,3,10,,stewais01
201,Bub Carrington,20,WAS,PG,57,28,27.9,3.5,8.8,0.394,2,5.3,0.382,1.5,3.5,0.411,0.508,1,1.3,0.733,0.4,3.2,3.7,4.6,0.6,0.2,2.4,2.2,9.9,,carrica01
202,Kyle Filipowski,22,UTA,C,57,21,22.2,3.7,7.5,0.491,0.8,2.5,0.338,2.8,5,0.566,0.547,1.7,2.4,0.712,1.8,4.9,6.6,2.1,0.9,0.4,1.5,2.9,9.9,,filipky01
203,Neemias Queta,26,BOS,C,54,53,25,4.1,6.5,0.638,0,0.1,0,4.1,6.4,0.647,0.638,1.5,2.2,0.683,3,5.4,8.4,1.5,0.9,1.3,1.1,2.8,9.8,,quetane01
204,Landry Shamet,28,NYK,SG,34,9,22.2,3.2,7.1,0.45,2.2,5.2,0.418,1,1.9,0.538,0.603,1.2,1.7,0.712,0.5,1.4,1.9,1.5,0.5,0.2,0.5,1.5,9.8,,shamela01
205,Zach Collins,28,CHI,C,10,0,18.4,3.7,6.4,0.578,0.9,2.1,0.429,2.8,4.3,0.651,0.648,1.4,2,0.7,1.6,4,5.6,1.5,0.2,0.4,1,1.8,9.7,,colliza01
206,T.J. McConnell,33,IND,PG,42,1,16.9,4.4,8.2,0.536,0.3,1,0.325,4.1,7.3,0.564,0.555,0.4,0.4,0.889,0.4,1.8,2.2,4.7,1.1,0.2,1.3,1.2,9.5,,mccontj01
207,Ziaire Williams,24,BRK,SF,39,5,22.9,3.1,7.6,0.407,1.6,5.2,0.313,1.5,2.5,0.604,0.513,1.7,2,0.859,0.5,2.1,2.6,0.8,1.2,0.5,1.1,2,9.5,,willizi02
208,Corey Kispert,26,2TM,SF,39,8,20.2,3.2,6.9,0.465,1.5,4.1,0.366,1.7,2.8,0.609,0.574,1.4,1.7,0.824,0.4,2,2.4,1.7,0.4,0.1,0.8,1,9.4,,kispeco01
208,Corey Kispert,26,WAS,SF,19,2,19.5,3.1,6.3,0.496,1.6,4,0.395,1.5,2.3,0.674,0.622,1.4,1.8,0.765,0.3,2,2.3,1.7,0.4,0.2,0.7,1.1,9.2,,kispeco01
208,Corey Kispert,26,ATL,SF,20,6,21,3.4,7.6,0.441,1.5,4.3,0.341,1.9,3.4,0.567,0.536,1.5,1.7,0.882,0.6,2,2.6,1.7,0.3,0.1,1,1,9.7,,kispeco01
209,Marcus Smart,31,LAL,SG,47,40,28.2,3.1,7.7,0.398,1.5,4.6,0.323,1.6,3.1,0.51,0.495,1.8,2.2,0.806,0.6,2.2,2.9,2.8,1.2,0.4,1.6,2.7,9.4,,smartma01
210,Sam Hauser,28,BOS,PF,54,26,24.3,3.2,7.8,0.413,2.6,6.6,0.397,0.6,1.2,0.508,0.582,0.2,0.2,0.923,0.7,3.1,3.8,1.5,0.6,0.3,0.5,1.4,9.3,,hausesa01
211,Isaac Okoro,25,CHI,SG,50,50,26.4,3.3,7.2,0.459,1.2,3.4,0.339,2.2,3.8,0.565,0.539,1.4,1.7,0.81,1.2,1.6,2.8,1.6,0.7,0.5,0.7,2.4,9.2,,okorois01
212,Jakob Poeltl,30,TOR,C,24,23,24.7,4,5.8,0.691,0,0,,4,5.8,0.691,0.691,1.2,2,0.592,2.6,4.7,7.3,2,0.8,0.5,1.5,3,9.2,,poeltja01
213,Cam Whitmore,21,WAS,SF,21,0,16.9,3.7,8,0.456,0.8,2.7,0.286,2.9,5.4,0.54,0.503,1.1,1.5,0.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,9.2,,whitmca01
214,Quenton Jackson,27,IND,PG,29,10,16.8,3,6.1,0.492,1,2.5,0.417,2,3.6,0.543,0.576,2,2.6,0.797,0.6,1.5,2.1,2.1,0.6,0.2,1.2,1.7,9.1,,jacksqu01
215,Jake LaRavia,24,LAL,PF,57,33,26.4,3.2,6.9,0.467,1.1,3.4,0.33,2.1,3.6,0.595,0.547,1.5,2,0.765,1.4,2.6,3.9,1.9,1.3,0.5,1.1,2.3,9.1,,laravja01
216,Jordan Miller,26,LAC,SF,36,0,19.8,3.1,6.1,0.509,0.7,2,0.342,2.4,4,0.593,0.567,2.2,2.8,0.798,0.9,2.1,3,1.8,0.7,0.2,1.1,1.1,9.1,,millejo02
217,MarJon Beauchamp,25,PHI,SF,2,0,18,3,7,0.429,1.5,3.5,0.429,1.5,3.5,0.429,0.536,1.5,2,0.75,0.5,3,3.5,2.5,1.5,0.5,1.5,0,9,,beaucma01
218,Davion Mitchell,27,MIA,PG,48,48,28.8,3.5,7.4,0.473,1.2,3,0.406,2.3,4.5,0.519,0.555,0.7,1.1,0.66,0.4,2.2,2.6,7.1,1.1,0.2,1.6,2.8,9,,mitchda01
219,Vit Krejci,25,2TM,PG,55,8,22,3.1,6.8,0.46,2.1,5.2,0.404,1,1.6,0.644,0.615,0.6,0.8,0.762,0.4,1.7,2.1,1.5,0.8,0.3,0.6,2.2,8.9,,krejcvi01
219,Vit Krejci,25,ATL,PG,46,8,22.3,3.1,6.7,0.464,2.2,5.2,0.423,0.9,1.5,0.609,0.628,0.6,0.8,0.75,0.4,1.7,2.1,1.5,0.8,0.3,0.7,2.3,9,,krejcvi01
219,Vit Krejci,25,POR,PG,9,0,20.1,3.2,7.3,0.439,1.7,5.3,0.313,1.6,2,0.778,0.553,0.6,0.7,0.833,0.4,1.6,2,1.7,0.7,0.6,0.4,1.6,8.7,,krejcvi01
220,Jordan Clarkson,33,NYK,SG,52,1,18.5,3.3,7.7,0.431,1.2,3.6,0.333,2.1,4.1,0.516,0.509,1.1,1.4,0.792,0.8,0.9,1.7,1.3,0.4,0.2,1,1.8,8.9,,clarkjo01
221,Luguentz Dort,26,OKC,SF,48,48,28,3.1,8,0.394,1.9,5.6,0.348,1.2,2.4,0.5,0.516,0.7,0.9,0.762,0.9,2.9,3.8,1.3,0.9,0.5,0.8,2.9,8.9,,dortlu01
222,Jordan Goodwin,27,PHO,PG,54,4,22.3,3.4,8.3,0.408,1.6,4.4,0.356,1.8,3.9,0.467,0.502,0.6,0.8,0.721,1.9,2.8,4.7,2.2,1.5,0.2,1,1.9,8.9,,goodwjo01
223,Jay Huff,27,IND,C,59,35,20.2,3.3,7,0.47,1.4,4.4,0.31,1.9,2.5,0.747,0.568,1,1.2,0.855,0.9,2.9,3.8,1.3,0.6,1.9,0.8,2.4,8.9,,huffja01
224,Herbert Jones,27,NOP,SF,36,36,29,3.3,8.5,0.384,1.3,4.5,0.29,2,4,0.49,0.461,1,1.3,0.804,0.9,2.6,3.5,2.7,1.6,0.5,1.3,3.2,8.9,,joneshe01
225,Svi Mykhailiuk,28,UTA,SF,46,41,23.5,3.3,6.9,0.476,1.8,4.5,0.393,1.5,2.5,0.628,0.603,0.5,0.6,0.923,0.7,1.8,2.5,1.9,0.5,0.1,0.8,1.3,8.9,,mykhasv01
226,Jonas Valančiūnas,33,DEN,C,46,4,14.4,3.6,6.3,0.569,0.1,0.4,0.278,3.5,5.9,0.588,0.578,1.6,2.1,0.765,1.6,3.6,5.2,1.3,0.3,0.6,1.2,2.2,8.9,,valanjo01
227,Moritz Wagner,28,ORL,C,17,0,12.2,3,6.1,0.49,1,2.5,0.405,2,3.6,0.548,0.572,1.9,2.2,0.842,0.7,2.3,3,0.8,0.6,0.1,0.6,1.6,8.9,,wagnemo01
228,Tristan Da Silva,24,ORL,SF,52,17,22.9,3.3,7.6,0.429,1.5,4.1,0.377,1.7,3.5,0.489,0.53,0.7,0.8,0.857,0.7,2.7,3.4,1.3,0.8,0.3,0.8,1.3,8.7,,dasiltr01
229,Micah Potter,27,IND,C,26,3,19.5,2.8,5.8,0.477,1.4,3.6,0.383,1.4,2.2,0.632,0.596,1.7,1.9,0.878,1,3.5,4.4,1.7,0.5,0.3,1,1.8,8.6,,pottemi01
230,Cason Wallace,22,OKC,SG,56,46,27.1,3.3,7.7,0.43,1.4,4,0.356,1.9,3.7,0.51,0.522,0.6,0.8,0.739,0.9,2.3,3.2,2.5,2.1,0.3,1,2,8.6,,wallaca01
231,Jaden Ivey,23,2TM,SG,37,5,18.1,3.1,6.9,0.445,1.4,3.6,0.373,1.7,3.3,0.525,0.543,1,1.3,0.809,0.6,1.8,2.5,1.8,0.6,0.4,1.1,1.4,8.5,,iveyja01
231,Jaden Ivey,23,DET,SG,33,2,16.8,3,6.7,0.45,1.3,3.4,0.372,1.7,3.2,0.533,0.545,0.9,1.2,0.789,0.6,1.6,2.2,1.6,0.5,0.4,1.1,1.3,8.2,,iveyja01
231,Jaden Ivey,23,CHI,SG,4,3,28.8,3.8,9,0.417,2,5.3,0.381,1.8,3.8,0.467,0.528,2,2.3,0.889,1.3,3.5,4.8,4,2,0.5,1.5,2.3,11.5,,iveyja01
232,Simone Fontecchio,30,MIA,SF,55,5,17,2.7,7,0.392,1.7,4.9,0.358,1,2.1,0.47,0.517,1.3,1.5,0.831,0.8,2.4,3.2,1.5,0.5,0.2,0.8,1.5,8.5,,fontesi01
233,Draymond Green,35,GSW,PF,48,48,26.6,3.1,7.5,0.41,1.5,4.6,0.32,1.6,2.9,0.554,0.508,0.9,1.2,0.707,0.8,4.9,5.7,5.1,0.8,0.6,2.7,3,8.5,,greendr01
234,Day'Ron Sharpe,24,BRK,C,55,6,18.6,3.3,5.5,0.605,0.1,0.6,0.212,3.2,4.9,0.653,0.616,1.8,2.6,0.674,2.7,3.9,6.6,2.3,1.1,0.4,1.6,2.3,8.5,,sharpda01
235,Kentavious Caldwell-Pope,32,MEM,SG,51,14,21.3,2.9,7.2,0.41,1.1,3.4,0.316,1.9,3.8,0.495,0.485,1.4,1.6,0.913,0.4,2.1,2.5,2.7,0.8,0.2,1.2,1.1,8.4,,caldwke01
236,Ron Holland,20,DET,SF,52,5,20.6,3,7.2,0.419,0.6,2.7,0.229,2.4,4.5,0.534,0.462,1.6,2,0.802,1.1,3.4,4.4,1.4,1.3,0.4,1.3,2.2,8.3,,hollaro01
237,Kadary Richmond,24,WAS,SG,3,0,22.3,3.3,5.3,0.625,0.7,1.3,0.5,2.7,4,0.667,0.688,1,1,1,0.3,3,3.3,2.7,2.7,0.3,0.7,0.7,8.3,,richmka01
238,Danny Wolf,21,BRK,PF,43,8,20.2,3,7.6,0.4,1.1,3.6,0.316,1.9,4,0.476,0.475,1.1,1.4,0.742,1,3.6,4.7,2.1,0.6,0.6,1.2,2,8.3,,wolfda01
239,Dominick Barlow,22,PHI,PF,47,40,24.1,3.2,6,0.541,0.4,1.4,0.277,2.9,4.6,0.62,0.573,1.3,1.8,0.733,2.1,2.7,4.9,1.2,1,0.7,0.8,2,8.2,,barlodo01
240,Bradley Beal,32,LAC,SG,6,6,20.2,3,8,0.375,1.2,3.2,0.368,1.8,4.8,0.379,0.448,1,1.3,0.75,0.3,0.5,0.8,1.7,0.5,0,1.5,2.3,8.2,,bealbr01
241,Moussa Diabaté,24,CHO,C,51,25,25.3,3.2,5,0.638,0,0,0.5,3.2,5,0.639,0.64,1.8,2.7,0.659,3.6,4.9,8.6,1.6,0.7,1,0.9,2.4,8.2,,diabamo01
242,Ryan Kalkbrenner,24,CHO,C,47,30,23.1,3.4,4.6,0.757,0,0,0,3.4,4.5,0.764,0.757,1.3,1.9,0.69,2.6,3.4,6,0.8,0.6,1.5,1,1.6,8.2,,kalkbry01
243,Luke Kennard,29,2TM,SG,53,1,20.6,2.9,5.2,0.554,1.5,3.1,0.491,1.4,2.1,0.646,0.7,0.8,0.9,0.913,0.4,1.8,2.2,2.1,0.7,0.1,0.7,1.2,8.1,,kennalu01
243,Luke Kennard,29,ATL,SG,46,0,20.5,2.8,5.2,0.538,1.6,3.2,0.497,1.2,2,0.604,0.692,0.7,0.8,0.914,0.4,1.7,2.2,2.1,0.7,0.1,0.7,1.2,7.9,,kennalu01
243,Luke Kennard,29,LAL,SG,7,1,21.4,3.6,5.4,0.658,1,2.3,0.438,2.6,3.1,0.818,0.75,1.4,1.6,0.909,0.4,2.1,2.6,1.9,0.6,0,0.9,1.9,9.6,,kennalu01
244,Jose Alvarado,27,2TM,PG,48,0,21.8,2.9,7.1,0.415,1.8,4.9,0.357,1.2,2.2,0.543,0.538,0.5,0.6,0.8,0.4,2.4,2.8,3.2,1.1,0.1,1.1,2,8.1,,alvarjo01
244,Jose Alvarado,27,NOP,PG,41,0,21.9,2.9,6.8,0.418,1.7,4.7,0.363,1.1,2.1,0.54,0.543,0.5,0.6,0.833,0.4,2.4,2.8,3.1,0.9,0.1,1.1,2,7.9,,alvarjo01
244,Jose Alvarado,27,NYK,PG,7,0,21.3,3.4,8.6,0.4,2,6,0.333,1.4,2.6,0.556,0.517,0.6,0.9,0.667,0.3,2.4,2.7,3.6,2,0.3,1,2.3,9.4,,alvarjo01
245,Bryce McGowens,23,NOP,SG,35,12,20.3,2.7,5.5,0.487,0.9,2.1,0.446,1.7,3.4,0.513,0.573,1.7,2.3,0.744,0.3,1.6,1.9,1.4,0.6,0.2,0.4,2,8.1,,mcgowbr01
246,Daniel Gafford,27,DAL,C,41,31,21.4,3.1,5,0.623,0,0,,3.1,5,0.623,0.623,1.9,2.5,0.752,2.1,4.3,6.4,1,0.8,1.3,1.2,2.7,8,,gaffoda01
247,Gary Trent Jr.,27,MIL,SG,49,17,22.8,2.7,7.2,0.382,1.9,5.2,0.363,0.8,1.9,0.432,0.514,0.7,0.8,0.78,0.1,0.9,1.1,1.4,0.6,0.1,0.5,1.3,8,,trentga02
248,Buddy Hield,33,2TM,SG,45,3,17.2,2.9,6.7,0.432,1.5,4.4,0.342,1.4,2.3,0.6,0.543,0.6,0.8,0.794,0.6,1.8,2.4,1.5,0.8,0.2,1,1.2,7.9,,hieldbu01
248,Buddy Hield,33,GSW,SG,44,3,17.5,3,6.8,0.433,1.5,4.4,0.344,1.4,2.4,0.6,0.545,0.6,0.8,0.794,0.6,1.9,2.5,1.5,0.8,0.2,1,1.3,8,,hieldbu01
248,Buddy Hield,33,ATL,SG,1,0,5,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,1,0,0,,hieldbu01
249,Kris Dunn,31,LAC,PG,57,51,27.7,2.9,6.1,0.484,1,2.7,0.372,1.9,3.4,0.576,0.568,0.9,1.2,0.783,0.8,2.3,3.1,3.5,1.5,0.1,1.4,2.4,7.9,,dunnkr01
250,Al Horford,39,GSW,C,36,6,21,2.9,6.8,0.433,1.6,4.4,0.354,1.4,2.4,0.575,0.547,0.5,0.5,0.895,0.9,3.9,4.9,2.5,0.8,1.1,1,1.2,7.9,,horfoal01
251,Daniss Jenkins,24,DET,PG,47,7,17.1,2.9,6.8,0.42,0.9,2.5,0.376,1.9,4.3,0.446,0.489,1.3,1.6,0.792,0.6,1.3,1.9,3.1,0.9,0.1,1.3,1.5,7.9,,jenkida01
252,Collin Murray-Boyles,20,TOR,PF,46,21,22.4,3.3,5.8,0.562,0.3,1,0.34,2.9,4.8,0.609,0.592,1,1.5,0.657,2.4,2.5,5,2,0.9,0.9,1.1,2.5,7.9,,murraco01
253,Nolan Traoré,19,BRK,PG,35,12,22,2.9,7.3,0.391,0.9,2.9,0.324,1.9,4.4,0.435,0.455,1.2,1.6,0.764,0.3,1.3,1.6,3.7,0.7,0.4,1.9,2,7.9,,traorno01
254,Bruce Brown,29,DEN,SG,58,2,24.9,3,6.3,0.471,0.6,1.7,0.371,2.4,4.7,0.507,0.52,1.2,1.6,0.756,1.2,2.8,4,2.2,1.1,0.3,1.1,2.4,7.8,,brownbr01
255,Justin Champagnie,24,WAS,SF,52,15,19.1,3,5.9,0.502,0.8,2.2,0.339,2.2,3.7,0.599,0.565,1.1,1.4,0.757,2.1,3.6,5.7,1.1,0.8,0.6,0.7,1.5,7.8,,champju01
256,Tristan Vukcevic,22,WAS,C,36,6,12.6,2.8,5.8,0.474,0.6,2.3,0.277,2.1,3.5,0.603,0.529,1.6,2.1,0.776,0.6,2.2,2.8,1.1,0.4,0.7,1.2,1.3,7.8,,vukcetr01
257,Precious Achiuwa,26,SAC,C,51,35,20.8,3.3,6.4,0.515,0.3,1.1,0.304,2.9,5.3,0.56,0.542,0.8,1.5,0.532,1.9,3.7,5.6,1.2,0.9,0.6,0.7,1.6,7.7,,achiupr01
258,Caris LeVert,31,DET,SG,39,0,19.6,2.8,6.4,0.43,1.1,3.1,0.352,1.7,3.3,0.504,0.516,1,1.5,0.678,0.3,1.4,1.7,2.8,0.9,0.7,1.4,1.5,7.7,,leverca01
259,Bogdan Bogdanović,33,LAC,SG,17,3,21.9,2.6,7.1,0.372,1.4,4.4,0.324,1.2,2.8,0.447,0.471,0.9,1.1,0.842,0.3,2.5,2.8,2.6,0.5,0.1,1.3,2.4,7.6,,bogdabo01
260,Terance Mann,29,BRK,SG,50,42,24.9,2.8,6.1,0.461,0.9,2.5,0.365,1.9,3.6,0.528,0.536,1.1,1.4,0.8,1.1,2.1,3.2,3.2,0.7,0.2,1.2,2.4,7.6,,mannte01
261,Kyle Anderson,32,2TM,SF,24,3,20.4,3,5.3,0.563,0.2,0.3,0.667,2.8,5.1,0.557,0.578,1.3,1.9,0.674,0.9,2.4,3.3,2.7,1.2,0.6,1,2.4,7.5,,anderky01
261,Kyle Anderson,32,UTA,SF,20,0,20.1,2.9,5.5,0.523,0.2,0.3,0.6,2.7,5.2,0.519,0.537,1.3,1.9,0.658,1,2.4,3.3,3.1,1.2,0.5,0.9,2.3,7.1,,anderky01
261,Kyle Anderson,32,MEM,SF,4,3,22.3,3.8,4.8,0.789,0.3,0.3,1,3.5,4.5,0.778,0.816,1.5,2,0.75,0.8,2.8,3.5,0.8,1.5,1,1.8,3,9.3,,anderky01
262,Vince Williams Jr.,25,2TM,PG,40,12,20.5,2.6,7.3,0.353,1.4,4.4,0.311,1.2,2.9,0.417,0.447,1,1.3,0.78,1,2.9,3.9,4.2,0.7,0.4,1.8,2,7.5,,willivi01
262,Vince Williams Jr.,25,MEM,PG,34,12,21.6,2.7,7.8,0.352,1.4,4.7,0.308,1.3,3.1,0.419,0.445,1.1,1.4,0.804,1,3,4,4.4,0.8,0.4,1.9,2.1,8,,willivi01
262,Vince Williams Jr.,25,UTA,SG,6,0,14,1.7,4.7,0.357,1,3,0.333,0.7,1.7,0.4,0.464,0.3,0.7,0.5,0.8,2.3,3.2,2.7,0.3,0.3,1.2,1.5,4.7,,willivi01
263,Nikola Jović,22,MIA,PF,45,1,17.6,2.5,6.8,0.37,1,3.6,0.272,1.5,3.2,0.483,0.443,1.5,2.2,0.683,0.6,2.8,3.4,2.2,0.6,0.4,1.4,1.4,7.5,,jovicni01
264,Quinten Post,25,GSW,PF,57,32,17.2,2.8,6.5,0.435,1.4,4.2,0.342,1.4,2.2,0.609,0.546,0.5,0.6,0.813,1,2.9,3.9,1.4,0.4,0.5,0.8,1.9,7.5,,postqu01
265,Jaden Hardy,23,2TM,SG,37,4,13,2.5,6.1,0.406,1.5,3.9,0.392,0.9,2.2,0.432,0.531,0.9,1.2,0.795,0.3,1.2,1.5,0.8,0.3,0.1,0.8,1.2,7.4,,hardyja02
265,Jaden Hardy,23,DAL,SG,34,4,12.6,2.3,5.7,0.402,1.4,3.6,0.371,0.9,2.1,0.457,0.521,0.9,1.2,0.775,0.3,1.1,1.4,0.9,0.3,0.1,0.8,1.1,6.9,,hardyja02
265,Jaden Hardy,23,WAS,SG,3,0,18,4.3,10,0.433,3.3,6.3,0.526,1,3.7,0.273,0.6,1.3,1.3,1,0,2.3,2.3,0.7,0.3,0.3,0.7,1.7,13.3,,hardyja02
266,Luka Garza,27,BOS,C,48,4,15.8,2.7,4.6,0.578,0.7,1.6,0.442,2,3,0.651,0.655,1.3,1.7,0.778,2.3,1.7,4,1,0.4,0.4,0.5,2.3,7.4,,garzalu01
267,Grant Williams,27,CHO,PF,17,3,20,2.2,5.5,0.404,1.2,3.8,0.328,1,1.8,0.567,0.516,1.7,2.1,0.829,1.4,2.9,4.3,1.8,0.4,0.4,0.9,1.5,7.4,,willigr01
268,Olivier-Maxence Prosper,23,MEM,PF,32,3,15,2.5,4.8,0.529,0.8,1.9,0.393,1.8,2.9,0.62,0.608,1.5,1.7,0.873,0.9,2.1,2.9,0.8,0.4,0.2,0.8,1.1,7.3,,prospol01
269,Will Riley,19,WAS,SF,49,2,16.8,2.6,6.1,0.43,0.8,2.4,0.325,1.9,3.7,0.497,0.493,1.3,1.7,0.78,0.8,1.5,2.3,1.5,0.6,0.1,0.9,0.9,7.3,,rileywi01
270,Javon Small,23,MEM,PG,23,0,16.4,2.4,5.6,0.426,1.1,2.7,0.419,1.3,2.9,0.433,0.527,1.3,1.7,0.795,0.7,1.7,2.4,3.4,0.6,0.2,1.1,1.3,7.3,,smallja01
271,Jared McCain,21,2TM,SG,44,1,16.9,2.6,6.5,0.401,1.3,3.3,0.392,1.3,3.2,0.411,0.5,0.8,0.9,0.872,0.3,1.9,2.2,1.5,0.6,0,0.9,1.2,7.2,,mccaija01
271,Jared McCain,21,PHI,SG,37,1,16.8,2.4,6.2,0.385,1.2,3.2,0.378,1.2,3,0.393,0.483,0.6,0.7,0.88,0.2,1.9,2,1.7,0.6,0.1,0.8,1.2,6.6,,mccaija01
271,Jared McCain,21,OKC,SG,7,0,17.4,3.6,7.6,0.472,1.6,3.4,0.458,2,4.1,0.483,0.575,1.7,2,0.857,1.1,2.1,3.3,0.7,0.7,0,1.3,1.3,10.4,,mccaija01
272,Luke Kornet,30,SAS,C,47,22,22.2,2.9,4.4,0.66,0,0,,2.9,4.4,0.66,0.66,1.4,1.8,0.798,3,3.6,6.6,1.9,0.5,1.2,0.4,1.9,7.2,,kornelu01
273,Brook Lopez,37,LAC,C,50,15,19.2,2.5,6.3,0.396,1.4,4.1,0.345,1.1,2.2,0.491,0.508,0.7,0.8,0.868,0.4,2.5,2.9,1,0.6,1.1,0.8,1.8,7.1,,lopezbr01
274,Walter Clayton,22,2TM,PG,49,1,18.5,2.4,6,0.399,1,3.3,0.296,1.4,2.7,0.527,0.481,1.2,1.3,0.938,0.3,1.7,2,3.4,0.6,0.2,1.3,1.8,7,,claytwa01
274,Walter Clayton,22,UTA,PG,45,0,18,2.3,5.7,0.398,1,3.2,0.308,1.3,2.5,0.513,0.484,1.3,1.4,0.935,0.3,1.6,2,3.2,0.5,0.3,1.3,1.7,6.8,,claytwa01
274,Walter Clayton,22,MEM,PG,4,1,24,3.8,9.3,0.405,1,4.8,0.211,2.8,4.5,0.611,0.459,0.8,0.8,1,0,3,3,5.8,1.3,0,2.3,2.5,9.3,,claytwa01
275,Tyrese Martin,26,2TM,SG,39,6,18,2.6,6.6,0.393,1.3,3.9,0.333,1.3,2.7,0.481,0.492,0.5,0.7,0.731,0.8,1.9,2.7,1.8,0.6,0.1,0.8,0.8,7,,martity01
275,Tyrese Martin,26,BRK,SG,37,6,18.8,2.7,6.9,0.392,1.4,4.1,0.336,1.3,2.8,0.476,0.492,0.5,0.7,0.731,0.9,2,2.9,1.9,0.6,0.1,0.9,0.8,7.3,,martity01
275,Tyrese Martin,26,PHI,SG,2,0,3,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0,0,0,0.5,0,0,0,0.5,1,,martity01
276,Sharife Cooper,24,WAS,PG,16,0,16.3,2.8,5.4,0.523,0.6,1.7,0.37,2.2,3.7,0.593,0.581,0.8,1.1,0.706,0.4,1.9,2.4,2.4,0.4,0.1,1.8,1.8,7,,coopesh01
277,Seth Curry,35,GSW,SG,2,0,16,3,4.5,0.667,1,2,0.5,2,2.5,0.8,0.778,0,0,,0.5,1.5,2,1.5,1,0,0,1.5,7,,curryse01
278,Bones Hyland,25,MIN,PG,50,3,14.7,2.5,5.5,0.458,1.3,3.4,0.38,1.2,2.1,0.585,0.576,0.6,0.9,0.711,0.4,1.4,1.7,2.6,0.6,0.2,0.8,1.7,7,,hylanbo01
279,Lawson Lovering,22,MEM,C,2,1,24.5,3,5,0.6,0,0,,3,5,0.6,0.6,1,2.5,0.4,3,4.5,7.5,1.5,1.5,0.5,1,3.5,7,,loverla01
280,Jamal Shead,23,TOR,PG,58,7,22.3,2.4,6.4,0.371,1.1,3.5,0.322,1.3,2.9,0.429,0.458,1.1,1.4,0.759,0.4,1.6,2,5.4,1,0.2,1.4,2.1,7,,sheadja01
281,Julian Strawther,23,DEN,SG,35,7,14.7,2.5,5.4,0.46,0.8,2.5,0.337,1.7,2.9,0.563,0.537,1.2,1.5,0.792,0.3,1.9,2.2,1.1,0.5,0.1,0.6,1.2,7,,strawju01
282,Patrick Williams,24,CHI,PF,55,4,19.5,2.5,6.4,0.39,1.4,3.6,0.383,1.1,2.9,0.399,0.496,0.6,0.9,0.7,0.7,2.2,2.9,1.4,0.6,0.3,0.9,1.3,7,,willipa01
283,Kevin Love,37,UTA,PF,31,5,17.1,2.2,5.6,0.399,1.4,3.9,0.364,0.8,1.7,0.481,0.526,1,1.2,0.816,1.6,4.2,5.8,1.8,0.3,0.3,0.8,1.5,6.9,,loveke01
284,Tre Mann,24,CHO,PG,38,1,15.9,2.6,7.2,0.364,1.2,3.7,0.329,1.4,3.5,0.402,0.449,0.5,0.6,0.87,0.5,1.7,2.3,2.1,0.6,0.1,1.3,1.6,6.9,,manntr01
285,Paul Reed,26,DET,C,41,8,13.5,2.9,4.9,0.603,0.2,0.7,0.357,2.7,4.2,0.643,0.628,0.8,1.3,0.635,1.9,2.5,4.4,1.2,0.9,0.8,1,1.7,6.9,,reedpa01
286,Kobe Sanders,23,LAC,SG,47,12,21.2,2.5,5.7,0.437,1,2.7,0.367,1.5,3,0.5,0.524,0.9,1.1,0.804,0.5,2.1,2.6,1.7,0.6,0.1,1.3,2.1,6.9,,sandeko01
287,Ben Sheppard,24,IND,SG,48,17,21.7,2.5,6,0.413,1.3,3.7,0.356,1.1,2.3,0.505,0.523,0.7,0.9,0.767,0.5,2.6,3.1,1.8,0.6,0.1,0.6,1.7,6.9,,sheppbe01
288,Andre Drummond,32,PHI,C,44,22,19.7,2.7,5.4,0.5,0.5,1.3,0.364,2.2,4.1,0.541,0.542,1,1.6,0.623,3.4,5.3,8.7,0.9,0.6,0.9,1,2,6.8,,drumman01
289,Javonte Green,32,DET,SG,56,4,18.4,2.3,5.1,0.441,1,2.9,0.352,1.2,2.2,0.556,0.54,1.3,1.6,0.802,0.8,1.9,2.7,0.7,1.3,0.3,0.7,1.3,6.8,,greenja02
